purchasable_id,ingredient_id,note,would_lower,held_on
ilg:175-0420,lightspeed:20484285,ilg:175-0420 -> Antica Formula Rosso Vermouth [Bottle],"unit clash bottle vs ml (zak-confirmed identity, needs conversion)",2026-08-18
ilg:305-1949P,lightspeed:20484751,ilg:305-1949P -> Buffalo Trace Bourbon [Bottle],"unit clash bottle vs ml (zak-confirmed identity, needs conversion)",2026-08-18
ilg:345-5638P,lightspeed:20484932,ilg:345-5638P -> Sailor Jerry [700ml],"unit clash bottle vs ml (zak-confirmed identity, needs conversion)",2026-08-18
ilg:360-1310,lightspeed:20483410,ilg:360-1310 -> Rooster Rojo Blanco Tequila [Bottle],"unit clash bottle vs ml (zak-confirmed identity, needs conversion)",2026-08-18
fresh-fruit-team:BROCE,lightspeed:22995320,Broccolini [Bunch],unit clash box vs bunch,2026-08-18
fresh-fruit-team:CSB,lightspeed:22898085,Choi Sum [bunch],harry_gatos: 2.750000/bunch -> 2.200000/bunch,2026-08-18
fresh-fruit-team:HCMB,lightspeed:22995343,Herb Chives [Market],unit clash g vs can,2026-08-18
fresh-fruit-team:OS10BG,lightspeed:22995945,Onion Spanish [10kg],unit clash kg vs g,2026-08-18
ilg:460-1639,lightspeed:20459553,Coke Zero 1.25L,unit clash ml vs can,2026-08-18
ilg:460-3254,lightspeed:20459564,Sprite Can,unit clash ml vs can,2026-08-18
select-fresh:LEMK,lightspeed:20564869,Lemon [Sliced],unit clash g vs ml,2026-08-18
