item_id,item_name,container,base_qty,base_unit,source,evidence
lightspeed:20445566,Mushrooms [4Kg box],container,4000,g,product_name,name states 4kg
lightspeed:20445569,Bocconcini [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:20445571,Fetta [2Kg],container,2000,g,product_name,name states 2kg
lightspeed:20445584,Capsicum [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:20445586,Corn [2Kg],container,2000,g,product_name,name states 2kg
lightspeed:20445593,Pumpkin [1kg],container,1000,g,product_name,name states 1kg
lightspeed:20445597,Spanish Onion [10Kg],container,10000,g,product_name,name states 10kg
lightspeed:20445598,Sundried Tomato [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:20445599,Anchovies [Tin 690g],container,690,g,product_name,name states 690g
lightspeed:20445601,Prawns [Box 7kg],container,7000,g,product_name,name states 7kg
lightspeed:20445603,Chicken [5Kg] [BBQ Chicken Pizza],container,5000,g,product_name,name states 5kg
lightspeed:20445610,Pepperoni [3kg],container,3000,g,product_name,name states 3kg
lightspeed:20445612,Calabrese [1Kg],container,1000,g,product_name,name states 1kg
lightspeed:20445737,Dom Pérignon Champagne - Bottle,each,1,each,unit_is_each,one is one
lightspeed:20445822,White Light Pure Vodka [20L],container,20000,ml,product_name,name states 20l
lightspeed:20445864,Sailor Jerry [700ml],container,700,ml,product_name,name states 700ml
lightspeed:20445866,Bacardi Blanca [700ml],container,700,ml,product_name,name states 700ml
lightspeed:20445872,Baileys Irish Cream [1L Bottle],container,1000,ml,product_name,name states 1l
lightspeed:20445888,Regal Rogue Wild Rosé Vermouth [500ml],container,500,ml,product_name,name states 500ml
lightspeed:20445893,Regal Rogue Bold Red Vermouth [5L],container,5000,ml,product_name,name states 5l
lightspeed:20445897,San Pellegrino 500ml,pack,500,ml,pack_override,human-confirmed
lightspeed:20445917,Bundaberg Ginger Beer [750ml],container,750,ml,product_name,name states 750ml
lightspeed:20459554,Solo 1.25L,each,1,each,unit_is_each,one is one
lightspeed:20459557,Sunkist 1.25L,each,1,each,unit_is_each,one is one
lightspeed:20464467,A. Rodda Tempranillo - Bottle,container,750,ml,back_office,BO stock item states 750ml
lightspeed:20464486,Das Juice Pink Pet Nat - Bottle,container,750,ml,back_office,BO stock item states 750ml
lightspeed:20464635,Trutta Streamside Shiraz [Chilled] - Bottle,container,750,ml,back_office,BO stock item states 750ml
lightspeed:20464639,Domaine Gueguen Chablis - Bottle,container,750,ml,back_office,BO stock item states 750ml
lightspeed:20464644,Dormilona Chenin Blanc - Bottle,container,750,ml,back_office,BO stock item states 750ml
lightspeed:20464651,Ottelia Cab Sav - Bottle,container,750,ml,back_office,BO stock item states 750ml
