supplier,supplier_code,product_id,product_name,venue,bo_cost,invoice_cost,delta,confidence,source_invoice,invoice_date
ILG,175-0420,20484285,Antica Formula Rosso Vermouth [Bottle],stowaway,64.0200,64.2700,-0.2500,stale_drift,03729959,2026-07-14
ILG,395-6785P,20484286,Aperol [Bottle],stowaway,29.0800,29.0817,-0.0017,exact,03729959,2026-07-14
ILG,305-1949P,20484751,Buffalo Trace Bourbon [Bottle],stowaway,52.9500,53.6100,-0.6600,stale_drift,03729959,2026-07-14
ILG,360-1310,20483410,Rooster Rojo Blanco Tequila [Bottle],stowaway,51.6617,51.6611,0.0006,exact,03729959,2026-07-14
ILG,345-5638P,20484932,Sailor Jerry [700ml],stowaway,44.4700,44.7200,-0.2500,stale_drift,03729959,2026-07-14
ILG,122-2867,20487313,Alehouse Summer Mid [Keg],stowaway,184.9400,184.9400,0.0000,exact,03729959,2026-07-14
ILG,122-2858,20487298,Alehouse Draught Lager [Keg],stowaway,212.4400,212.4400,0.0000,exact,03729959,2026-07-14
ILG,115-3762,20445701,Corona,stowaway,2.5713,2.5712,0.0001,exact,03729959,2026-07-14
ILG,117-4213,20445707,Heaps Normal Tin,stowaway,2.6696,2.6700,-0.0004,exact,03729959,2026-07-14
ILG,460-1504,20459552,Coke 1.25L,stowaway,3.6900,3.6933,-0.0033,exact,03729959,2026-07-14
ILG,460-2567,20459560,Coke Can,stowaway,1.8900,1.8900,0.0000,exact,03729959,2026-07-14
ILG,460-1639,20459553,Coke Zero 1.25L,stowaway,3.0900,3.6933,-0.6033,stale_drift,03729959,2026-07-14
ILG,450-1293,20445897,San Pellegrino 500ml,stowaway,2.3200,2.3558,-0.0358,stale_drift,03729959,2026-07-14
ILG,460-3254,20459564,Sprite Can,stowaway,1.4700,1.8896,-0.4196,stale_drift,03729959,2026-07-14
Lion,1256672,20492637,Stone & Wood [Keg],stowaway,385.1100,383.2350,1.8750,stale_drift,94755729,2026-07-14
Lion,1200769,23216243,Guinness [Keg],stowaway,416.5800,416.5800,0.0000,exact,94755729,2026-07-14
Lion,1254690,20786711,Kirin [Keg],stowaway,444.6700,441.5400,3.1300,stale_drift,94755729,2026-07-14
Paramount,44583,20487328,De Bortoli Gold Seal Dry Red [15L],stowaway,56.4500,55.8950,0.5550,stale_drift,5441124,2026-07-14
Bacchus,FD2MOTHER 23,20464685,Mother's Milk Shiraz - Bottle,stowaway,16.0817,16.0817,0.0000,exact,INV494857,2026-07-13
ILG,220-1593,20487328,De Bortoli Gold Seal Dry Red [15L],,56.4500,56.4500,0.0000,name+price,,
ILG,285-0409P,20487286,Four Pillars Bloody Shiraz [Bottle],,65.6600,66.7900,-1.1300,name+price,,
ILG,410-4472,20487225,Grand Marnier [Bottle],,52.7900,48.8600,3.9300,name+price,,
Paramount,78607,20492747,Wolf Lane Navy Gin [Bottle],,77.4000,85.1400,-7.7400,name+price,,
Paramount,32051,20484930,White Light Vodka [20L],,1012.7800,1012.7800,0.0000,name+price,,
Combined Wines,CCCPN750ML,20485056,Cri De Couer Pinot Noir - Bottle,,62.1517,62.1517,0.0000,name+price,,
Combined Wines,CGPN750ML,20655236,Geppetto Pinot Noir - Bottle,,17.5608,17.5608,0.0000,name+price,,
Viticult,ECPM24,20464662,Padrillos Malbec - Bottle,,19.3325,19.3324,0.0001,name+price,,
Paramount,10015926,20483609,Carpano Classico [750ml],,23.1700,23.1700,0.0000,name+price,,
ILG,170-5319,23358617,Boronia Marsala [Bottle],,9.4600,10.2200,-0.7600,name+price,,
ILG,300-0219,20744462,Monkey Shoulder Scotch [Bottle],,56.1800,62.0700,-5.8900,name+price,,
Nelson,HA25PIG,20466120,Version Two Pinot Grigio - Bottle,,8.8333,8.8333,0.0000,name+price,,
Viticult,OC24,20464694,Ottelia Chardonnay - Bottle,,17.2900,17.2975,-0.0075,name+price,,
Young & Rashleigh,PIZVFSAN1224,20466168,Villa Fresco Sangiovese - Bottle,,12.0600,12.0617,-0.0017,name+price,,
